Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMMUG00000000090	ENSG00000198952	SMG5	SMG5
ENSMMUG00000007413	ENSG00000173626	TRAPPC3L	TRAPPC3L
ENSMMUG00000012243	ENSG00000009780	FAM76A	FAM76A
ENSMMUG00000006186	ENSG00000137203	TFAP2A	TFAP2A
ENSMMUG00000023983			Y_RNA
ENSMMUG00000055459			
ENSMMUG00000003373	ENSG00000174123	TLR10	TLR10
ENSMMUG00000056032			
ENSMMUG00000064933			Metazoa_SRP
ENSMMUG00000060104	ENSG00000212489	RNU6-1109P	U6
ENSMMUG00000036386	ENSG00000251773	RNU6-1129P	U6
ENSMMUG00000050565	ENSG00000186867	QRFPR	QRFPR
ENSMMUG00000053542			
ENSMMUG00000003700	ENSG00000113889	KNG1	KNG1
ENSMMUG00000026335	ENSG00000201410		
ENSMMUG00000007412	ENSG00000178033	CALHM5	CALHM5
ENSMMUG00000012110	ENSG00000128602	SMO	SMO
ENSMMUG00000060126			
ENSMMUG00000040368	ENSG00000187037	GPR141	GPR141
ENSMMUG00000056216			
ENSMMUG00000060805			Metazoa_SRP
ENSMMUG00000010647	ENSG00000160223	ICOSLG	ICOSLG
ENSMMUG00000007414	ENSG00000164451	CALHM4	CALHM4
ENSMMUG00000060120			Metazoa_SRP
ENSMMUG00000000623	ENSG00000090530	P3H2	P3H2
ENSMMUG00000023613	ENSG00000112539	C6orf118	C4H6orf118
ENSMMUG00000059506			Metazoa_SRP
ENSMMUG00000000789	ENSG00000163626	COX18	COX18
ENSMMUG00000015577	ENSG00000124784	RIOK1	RIOK1
ENSMMUG00000065169	ENSG00000239001	RNU6-420P	U6
ENSMMUG00000004049	ENSG00000118217	ATF6	ATF6
ENSMMUG00000036266	ENSG00000222870	RNU6-1328P	U6
ENSMMUG00000016754	ENSG00000174125	TLR1	TLR1
ENSMMUG00000009007	ENSG00000135211	TMEM60	TMEM60
ENSMMUG00000055772			
ENSMMUG00000008572	ENSG00000120334	CENPL	CENPL
ENSMMUG00000010808	ENSG00000143612	C1orf43	C1H1orf43
ENSMMUG00000005136	ENSG00000198420	TCAF1	TCAF1
ENSMMUG00000014173	ENSG00000116459	ATP5PB	
ENSMMUG00000023559	ENSG00000065029	ZNF76	ZNF76
ENSMMUG00000005293	ENSG00000204438	GPANK1	GPANK1
ENSMMUG00000017720	ENSG00000168118	RAB4A	RAB4A
ENSMMUG00000052549			
ENSMMUG00000055834			
ENSMMUG00000007415	ENSG00000111832	RWDD1	RWDD1
ENSMMUG00000056667			
ENSMMUG00000062812			Metazoa_SRP
ENSMMUG00000049939			
ENSMMUG00000061150			
ENSMMUG00000050528			
ENSMMUG00000058356			mml-mir-7188
ENSMMUG00000062483			Metazoa_SRP
ENSMMUG00000059898			
ENSMMUG00000052832			
ENSMMUG00000014150	ENSG00000118523	CCN2	CCN2
ENSMMUG00000063069			
ENSMMUG00000002418	ENSG00000174130	TLR6	TLR6
ENSMMUG00000051229			
ENSMMUG00000045449	ENSG00000106415	GLCCI1	GLCCI1
ENSMMUG00000062431			
ENSMMUG00000049558			BRI3
ENSMMUG00000049771			Metazoa_SRP
ENSMMUG00000058295			Metazoa_SRP
ENSMMUG00000019358	ENSG00000158467	AHCYL2	AHCYL2
ENSMMUG00000057064			
ENSMMUG00000055278			
ENSMMUG00000036651	ENSG00000252357	Y_RNA	Y_RNA
ENSMMUG00000007968	ENSG00000164161	HHIP	HHIP
ENSMMUG00000063401			
ENSMMUG00000001805	ENSG00000111834	RSPH4A	RSPH4A
ENSMMUG00000057644			
ENSMMUG00000015575	ENSG00000164304	CAGE1	CAGE1
ENSMMUG00000060854			
ENSMMUG00000059326	ENSG00000177606	JUN	JUN
ENSMMUG00000064716			
ENSMMUG00000004471	ENSG00000197712	FAM114A1	FAM114A1
ENSMMUG00000033717			
ENSMMUG00000043171			
ENSMMUG00000019963	ENSG00000152990	ADGRA3	ADGRA3
ENSMMUG00000022798	ENSG00000117593	DARS2	DARS2
ENSMMUG00000052744			Metazoa_SRP
ENSMMUG00000060244			
ENSMMUG00000003820	ENSG00000132153	DHX30	DHX30
ENSMMUG00000052087			
ENSMMUG00000054733			Metazoa_SRP
ENSMMUG00000009614	ENSG00000144681	STAC	STAC
ENSMMUG00000063280			Metazoa_SRP
ENSMMUG00000053197	ENSG00000200792	SNORA80A	SNORA80A
ENSMMUG00000050224			
ENSMMUG00000000987	ENSG00000008226	DLEC1	DLEC1
ENSMMUG00000013276	ENSG00000006453	BAIAP2L1	BAIAP2L1
ENSMMUG00000037579			Metazoa_SRP
ENSMMUG00000049419			
ENSMMUG00000004996	ENSG00000079931	MOXD1	MOXD1
ENSMMUG00000021236	ENSG00000169919	GUSB	
ENSMMUG00000019856			
ENSMMUG00000033441	ENSG00000215938	MIR190B	mml-mir-190b
ENSMMUG00000036937	ENSG00000201747	RNU6-534P	U6
ENSMMUG00000059677	ENSG00000170262	MRAP	MRAP
ENSMMUG00000024325	ENSG00000207095	RNU6-424P	U6
ENSMMUG00000041612	ENSG00000249693	SPMAP2L	SPMAP2L
ENSMMUG00000054406			
ENSMMUG00000005272	ENSG00000160221	GATD3	GATD3
ENSMMUG00000023104	ENSG00000155849	ELMO1	ELMO1
ENSMMUG00000001806	ENSG00000153975	ZUP1	ZUP1
ENSMMUG00000056807			
ENSMMUG00000019855	ENSG00000213215	OR2F1	OR2F1
ENSMMUG00000005526	ENSG00000071794	HLTF	HLTF
ENSMMUG00000060972			
ENSMMUG00000000795	ENSG00000151917	BEND6	BEND6
ENSMMUG00000064779			U6
ENSMMUG00000056971			Metazoa_SRP
ENSMMUG00000021248	ENSG00000146828	SLC12A9	SLC12A9
ENSMMUG00000004898	ENSG00000173320	STOX2	STOX2
ENSMMUG00000042110	ENSG00000219545	UMAD1	UMAD1
ENSMMUG00000031542	ENSG00000162729	IGSF8	IGSF8
ENSMMUG00000056467	ENSG00000207148	Y_RNA	Y_RNA
ENSMMUG00000013316	ENSG00000221813	OR6B1	OR6B1
ENSMMUG00000061914			
ENSMMUG00000017977	ENSG00000156140	ADAMTS3	ADAMTS3
ENSMMUG00000021235	ENSG00000196715	VKORC1L1	VKORC1L1
ENSMMUG00000054785			Metazoa_SRP
ENSMMUG00000059707	ENSG00000159055	MIS18A	MIS18A
ENSMMUG00000005302	ENSG00000204463	BAG6	BAG6
ENSMMUG00000052194	ENSG00000196503	ARL9	ARL9
ENSMMUG00000016466	ENSG00000073282	TP63	TP63
ENSMMUG00000031107	ENSG00000183978	COA3	
ENSMMUG00000035723			U7
ENSMMUG00000011454	ENSG00000126709	IFI6	IFI6
ENSMMUG00000057811	ENSG00000221836	OR2A5	OR2A5
ENSMMUG00000060229			
ENSMMUG00000054344			
ENSMMUG00000058076			Metazoa_SRP
ENSMMUG00000002419	ENSG00000121895	TMEM156	TMEM156
ENSMMUG00000039654	ENSG00000164692	COL1A2	COL1A2
ENSMMUG00000059008			
ENSMMUG00000011800	ENSG00000162601	MYSM1	MYSM1
ENSMMUG00000049981	ENSG00000221933	OR2A25	OR2A25
ENSMMUG00000062786			
ENSMMUG00000000854	ENSG00000106399	RPA3	RPA3
ENSMMUG00000061633			Metazoa_SRP
ENSMMUG00000019359	ENSG00000128578	STRIP2	STRIP2
ENSMMUG00000000531	ENSG00000221858	OR2A12	OR2A12
ENSMMUG00000024846			SNORD81
ENSMMUG00000023557	ENSG00000146197	SCUBE3	SCUBE3
ENSMMUG00000057683			U7
ENSMMUG00000051615	ENSG00000221989	OR2A2	OR2A2
ENSMMUG00000059109			
ENSMMUG00000054802			Metazoa_SRP
ENSMMUG00000017952	ENSG00000198087	CD2AP	CD2AP
ENSMMUG00000004994	ENSG00000079950	STX7	STX7
ENSMMUG00000025832			
ENSMMUG00000056692	ENSG00000221938	OR2A14	OR2A14
ENSMMUG00000010672	ENSG00000124786	SLC35B3	SLC35B3
ENSMMUG00000061214			U3
ENSMMUG00000049089	ENSG00000169919	GUSB	
ENSMMUG00000010805	ENSG00000143549	TPM3	TPM3
ENSMMUG00000057995	ENSG00000116574	RHOU	RHOU
ENSMMUG00000024242			SNORD79
ENSMMUG00000052638			Metazoa_SRP
ENSMMUG00000064156			Metazoa_SRP
ENSMMUG00000051433			
ENSMMUG00000037970			
ENSMMUG00000050169			5S_rRNA
ENSMMUG00000057075			
ENSMMUG00000054086	ENSG00000252037	RNU6-162P	U6
ENSMMUG00000054086	ENSG00000252523	RNU6-267P	U6
ENSMMUG00000049798			5S_rRNA
ENSMMUG00000021252	ENSG00000087077	TRIP6	TRIP6
ENSMMUG00000062219			
ENSMMUG00000057862			
ENSMMUG00000015959	ENSG00000172995	ARPP21	ARPP21
ENSMMUG00000054510	ENSG00000162728	KCNJ9	KCNJ9
ENSMMUG00000055360	ENSG00000201355	RNA5S14	5S_rRNA
ENSMMUG00000000853	ENSG00000164654	MIOS	MIOS
ENSMMUG00000064492	ENSG00000243896	OR2A7	
ENSMMUG00000064492	ENSG00000180658	OR2A4	
ENSMMUG00000054177			
ENSMMUG00000050963			SNORD24
ENSMMUG00000051472			5S_rRNA
ENSMMUG00000048955	ENSG00000196911	KPNA5	KPNA5
ENSMMUG00000052808	ENSG00000221711		
ENSMMUG00000060422			
ENSMMUG00000049634			5S_rRNA
ENSMMUG00000016376	ENSG00000197442	MAP3K5	MAP3K5
ENSMMUG00000017438	ENSG00000057019	DCBLD2	DCBLD2
ENSMMUG00000012917	ENSG00000142149	HUNK	HUNK
ENSMMUG00000026229			
ENSMMUG00000002755	ENSG00000109790	KLHL5	KLHL5
ENSMMUG00000016368	ENSG00000174780	SRP72	SRP72
ENSMMUG00000026466			5S_rRNA
ENSMMUG00000051442	ENSG00000212807	OR2A42	
ENSMMUG00000051442	ENSG00000221970	OR2A1	
ENSMMUG00000016747	ENSG00000164303	ENPP6	ENPP6
ENSMMUG00000062287			Metazoa_SRP
ENSMMUG00000022801	ENSG00000185278	ZBTB37	ZBTB37
ENSMMUG00000054927			
ENSMMUG00000014434	ENSG00000000938	FGR	FGR
ENSMMUG00000011970	ENSG00000106236	NPTX2	NPTX2
ENSMMUG00000000085	ENSG00000160781	PAQR6	PAQR6
ENSMMUG00000010134	ENSG00000050327	ARHGEF5	ARHGEF5
ENSMMUG00000050081			
ENSMMUG00000010879	ENSG00000008130	NADK	NADK
ENSMMUG00000004432	ENSG00000164162	ANAPC10	ANAPC10
ENSMMUG00000046470	ENSG00000177807	KCNJ10	KCNJ10
ENSMMUG00000002147	ENSG00000124783	SSR1	SSR1
ENSMMUG00000060729	ENSG00000143178	TBX19	TBX19
ENSMMUG00000004291	ENSG00000111911	HINT3	HINT3
ENSMMUG00000051996			
ENSMMUG00000019438	ENSG00000152818	UTRN	UTRN
ENSMMUG00000036872	ENSG00000252423	RNU6-229P	U6
ENSMMUG00000052178			Metazoa_SRP
ENSMMUG00000038104	ENSG00000244512	RN7SL28P	Metazoa_SRP
ENSMMUG00000047089	ENSG00000143315	PIGM	PIGM
ENSMMUG00000019105	ENSG00000137996	RTCA	RTCA
ENSMMUG00000033160	ENSG00000212624		
ENSMMUG00000011836	ENSG00000105894	PTN	PTN
ENSMMUG00000059873			
ENSMMUG00000057261			Metazoa_SRP
ENSMMUG00000025824	ENSG00000199846	RNU1-72P	U1
ENSMMUG00000035887	ENSG00000252032	RNU6-1281P	U6
ENSMMUG00000045685	ENSG00000244230	RN7SL151P	Metazoa_SRP
ENSMMUG00000000629	ENSG00000117601	SERPINC1	SERPINC1
ENSMMUG00000052181			
ENSMMUG00000049462	ENSG00000201165	RNU6-1229P	U6
ENSMMUG00000049462	ENSG00000201560	RNU6-973P	U6
ENSMMUG00000061930			
ENSMMUG00000058224	ENSG00000240204	SMKR1	SMKR1
ENSMMUG00000058647			
ENSMMUG00000033244	ENSG00000202023	SNORD81	SNORD81
ENSMMUG00000036592			mml-mir-762-1
ENSMMUG00000005578	ENSG00000189339	SLC35E2B	SLC35E2
ENSMMUG00000013779	ENSG00000143184	XCL1	
ENSMMUG00000013779	ENSG00000143185	XCL2	
ENSMMUG00000053189			U2
ENSMMUG00000024477			U6
ENSMMUG00000063416	ENSG00000202296	RNU6-1335P	U6
ENSMMUG00000063416	ENSG00000202350	RNU6-326P	U6
ENSMMUG00000063416	ENSG00000200446	RNU6-1085P	U6
ENSMMUG00000018350	ENSG00000116237	ICMT	ICMT
ENSMMUG00000040123	ENSG00000215018	COL28A1	COL28A1
ENSMMUG00000057321			Metazoa_SRP
ENSMMUG00000053917	ENSG00000278838	Metazoa_SRP	Metazoa_SRP
ENSMMUG00000052037			
ENSMMUG00000004992			
ENSMMUG00000020609	ENSG00000106410	NOBOX	NOBOX
ENSMMUG00000005569	ENSG00000249948	GBA3	GBA3
ENSMMUG00000050787			Metazoa_SRP
ENSMMUG00000050688	ENSG00000183807	FAM162B	FAM162B
ENSMMUG00000004707	ENSG00000162723	SLAMF9	SLAMF9
ENSMMUG00000027112	ENSG00000207625	MIR128-2	mml-mir-128b
ENSMMUG00000063491			U3
ENSMMUG00000061229			
ENSMMUG00000057661			
ENSMMUG00000041978			
ENSMMUG00000051038	ENSG00000201566	Y_RNA	Y_RNA
ENSMMUG00000063875	ENSG00000206785	SNORA15B-2	
ENSMMUG00000063875	ENSG00000207062	SNORA15B-1	
ENSMMUG00000062646			
ENSMMUG00000050335			
ENSMMUG00000058992			
ENSMMUG00000034008	ENSG00000221585	MIR1226	mml-mir-1226
ENSMMUG00000048598	ENSG00000206634	SNORA22	
ENSMMUG00000048598	ENSG00000207344	SNORA22C	
ENSMMUG00000056269			
ENSMMUG00000004433	ENSG00000164163	ABCE1	ABCE1
ENSMMUG00000009868	ENSG00000126705	AHDC1	AHDC1
ENSMMUG00000021448			
ENSMMUG00000062787			
ENSMMUG00000058088			
ENSMMUG00000004902	ENSG00000160785	SLC25A44	BGLAP
ENSMMUG00000055794			
ENSMMUG00000004990			TAAR6
ENSMMUG00000059186			U6
ENSMMUG00000055695			
ENSMMUG00000038166	ENSG00000158286	RNF207	RNF207
ENSMMUG00000002174	ENSG00000056972	TRAF3IP2	TRAF3IP2
ENSMMUG00000050260	ENSG00000212442	RNU6-243P	U6
ENSMMUG00000003072	ENSG00000173612	GPRC6A	GPRC6A
ENSMMUG00000012377	ENSG00000166448	TMEM130	TMEM130
ENSMMUG00000054695			U6
ENSMMUG00000057099			
ENSMMUG00000065298			
ENSMMUG00000055959	ENSG00000207750	MIR553	mml-mir-553
ENSMMUG00000064171	ENSG00000182111	ZNF716	
ENSMMUG00000004989	ENSG00000135569	TAAR5	TAAR5
ENSMMUG00000041919	ENSG00000106459	NRF1	NRF1
ENSMMUG00000055625			
ENSMMUG00000054783			
ENSMMUG00000060107			
ENSMMUG00000056896			Metazoa_SRP
ENSMMUG00000055427			Metazoa_SRP
ENSMMUG00000004706	ENSG00000085552	IGSF9	IGSF9
ENSMMUG00000039810			TAAR4
ENSMMUG00000004293	ENSG00000066651	TRMT11	TRMT11
ENSMMUG00000033944			
ENSMMUG00000001894	ENSG00000008128	CDK11A	
ENSMMUG00000001894	ENSG00000248333	CDK11B	
ENSMMUG00000017436	ENSG00000064225	ST3GAL6	ST3GAL6
ENSMMUG00000050970			
ENSMMUG00000021255	ENSG00000087087	SRRT	SRRT
ENSMMUG00000051406			
ENSMMUG00000059438	ENSG00000277001	Metazoa_SRP	Metazoa_SRP
ENSMMUG00000058194			
ENSMMUG00000053738			
ENSMMUG00000047043	ENSG00000264384	RN7SL431P	Metazoa_SRP
ENSMMUG00000001712	ENSG00000156304	SCAF4	SCAF4
ENSMMUG00000056779			
ENSMMUG00000004988			TAAR3
ENSMMUG00000018536	ENSG00000056291	NPFFR2	NPFFR2
ENSMMUG00000063957			
ENSMMUG00000055554			
ENSMMUG00000036302	ENSG00000239005		
ENSMMUG00000053895			Metazoa_SRP
ENSMMUG00000012055	ENSG00000085832	EPS15	EPS15
ENSMMUG00000038560	ENSG00000239264	TXNDC5	BLOC1S5
ENSMMUG00000008650	ENSG00000196511	TPK1	TPK1
ENSMMUG00000000990	ENSG00000060971	ACAA1	ACAA1
ENSMMUG00000059524			mml-mir-557
ENSMMUG00000004987	ENSG00000146378	TAAR2	TAAR2
ENSMMUG00000039442			
ENSMMUG00000051294			
ENSMMUG00000005271	ENSG00000241945	PWP2	PWP2
ENSMMUG00000000630	ENSG00000135870	RC3H1	RC3H1
ENSMMUG00000015087	ENSG00000168310	IRF2	IRF2
ENSMMUG00000017189	ENSG00000185002	RFX6	RFX6
ENSMMUG00000058464			Metazoa_SRP
ENSMMUG00000064191			Metazoa_SRP
ENSMMUG00000062804			Metazoa_SRP
ENSMMUG00000014952	ENSG00000143552	NUP210L	NUP210L
ENSMMUG00000060218	ENSG00000143184	XCL1	XCL1
ENSMMUG00000060218	ENSG00000143185	XCL2	XCL1
ENSMMUG00000015088	ENSG00000146399	TAAR1	TAAR1
ENSMMUG00000018347	ENSG00000116251	RPL22	RPL22
ENSMMUG00000001891	ENSG00000189409	MMP23B	MMP23
ENSMMUG00000023241	ENSG00000145321	GC	GC
ENSMMUG00000015089	ENSG00000112299	VNN1	VNN1
ENSMMUG00000060569			
ENSMMUG00000056707			
ENSMMUG00000052880			
ENSMMUG00000022275	ENSG00000136250	AOAH	AOAH
ENSMMUG00000036268	ENSG00000252236		
ENSMMUG00000001844	ENSG00000109819	PPARGC1A	PPARGC1A
ENSMMUG00000007852	ENSG00000124782	RREB1	RREB1
ENSMMUG00000014389	ENSG00000096401	CDC5L	CDC5L
ENSMMUG00000059221			
ENSMMUG00000022762	ENSG00000162600	OMA1	OMA1
ENSMMUG00000055827			
ENSMMUG00000014069	ENSG00000170248	PDCD6IP	PDCD6IP
ENSMMUG00000002932	ENSG00000143196	DPT	DPT
ENSMMUG00000026385	ENSG00000201965	Y_RNA	Y_RNA
ENSMMUG00000056706	ENSG00000200220	RNU6-179P	U6
ENSMMUG00000015090			VNN3
ENSMMUG00000005303	ENSG00000204444	APOM	APOM
ENSMMUG00000063400			U3
ENSMMUG00000003823	ENSG00000047849	MAP4	MAP4
ENSMMUG00000054913	ENSG00000106392	C1GALT1	C1GALT1
ENSMMUG00000051590			
ENSMMUG00000018240			
ENSMMUG00000059777			
ENSMMUG00000055219			
ENSMMUG00000000995	ENSG00000172936	MYD88	MYD88
ENSMMUG00000045377	ENSG00000241347	RN7SL466P	Metazoa_SRP
ENSMMUG00000021720	ENSG00000124678	TCP11	TCP11
ENSMMUG00000060211			Metazoa_SRP
ENSMMUG00000004901	ENSG00000196189	SEMA4A	SEMA4A
ENSMMUG00000062041			
ENSMMUG00000057132			
ENSMMUG00000023737	ENSG00000170162	VGLL2	VGLL2
ENSMMUG00000012961	ENSG00000197530	MIB2	MIB2
ENSMMUG00000056482	ENSG00000162746	FCRLB	FCRLB
ENSMMUG00000024504	ENSG00000201218	Y_RNA	Y_RNA
ENSMMUG00000006854	ENSG00000147403	RPL10	
ENSMMUG00000015091	ENSG00000112303	VNN2	VNN2
ENSMMUG00000021078	ENSG00000143153	ATP1B1	ATP1B1
ENSMMUG00000017586	ENSG00000143545	RAB13	RAB13
ENSMMUG00000016366	ENSG00000128050	PAICS	PAICS
ENSMMUG00000050666	ENSG00000201031	Y_RNA	Y_RNA
ENSMMUG00000017017	ENSG00000010810	FYN	FYN
ENSMMUG00000005297	ENSG00000204469	PRRC2A	PRRC2A
ENSMMUG00000004042	ENSG00000132185	FCRLA	FCRLA
ENSMMUG00000050162			
ENSMMUG00000059213			
ENSMMUG00000015772	ENSG00000174469	CNTNAP2	CNTNAP2
ENSMMUG00000019157	ENSG00000070669	ASNS	ASNS
ENSMMUG00000001711	ENSG00000142168	SOD1	SOD1
ENSMMUG00000060313			
ENSMMUG00000065045	ENSG00000080819	CPOX	CPOX
ENSMMUG00000060092			Metazoa_SRP
ENSMMUG00000049099	ENSG00000264128	RN7SL713P	Metazoa_SRP
ENSMMUG00000000996	ENSG00000172939	OXSR1	OXSR1
ENSMMUG00000004437	ENSG00000164164	OTUD4	OTUD4
ENSMMUG00000011905	ENSG00000146072	TNFRSF21	TNFRSF21
ENSMMUG00000033365	ENSG00000216058	MIR944	mml-mir-944
ENSMMUG00000049840			
ENSMMUG00000005528	ENSG00000163755	HPS3	HPS3
ENSMMUG00000040609	ENSG00000158710	TAGLN2	TAGLN2
ENSMMUG00000023738	ENSG00000047936	ROS1	ROS1
ENSMMUG00000021079	ENSG00000143156	NME7	NME7
ENSMMUG00000057806			
ENSMMUG00000013236	ENSG00000146409	SLC18B1	SLC18B1
ENSMMUG00000016362	ENSG00000128059	PPAT	PPAT
ENSMMUG00000054620	ENSG00000268154	Metazoa_SRP	Metazoa_SRP
ENSMMUG00000060500			
ENSMMUG00000002756	ENSG00000157796	WDR19	WDR19
ENSMMUG00000052448			
ENSMMUG00000044859			
ENSMMUG00000009550	ENSG00000154165	GPR15	GPR15
ENSMMUG00000040490			
ENSMMUG00000026999			mml-mir-182
ENSMMUG00000048805			
ENSMMUG00000052733			
ENSMMUG00000061703			
ENSMMUG00000034790	ENSG00000251878	SNORD79	SNORD79
ENSMMUG00000028593	ENSG00000199158	MIR96	mml-mir-96
ENSMMUG00000037227	ENSG00000238390		
ENSMMUG00000014388	ENSG00000249481	SPATS1	SPATS1
ENSMMUG00000026856	ENSG00000207691	MIR183	mml-mir-183
ENSMMUG00000040063	ENSG00000228594	FNDC10	FNDC10
ENSMMUG00000064445			Metazoa_SRP
ENSMMUG00000021718	ENSG00000064999	ANKS1A	ANKS1A
ENSMMUG00000063836			Metazoa_SRP
ENSMMUG00000021161	ENSG00000163623	NKX6-1	NKX6-1
ENSMMUG00000051117			
ENSMMUG00000059139			
ENSMMUG00000021600	ENSG00000153162	BMP6	BMP6
ENSMMUG00000043799			
ENSMMUG00000016029	ENSG00000080493	SLC4A4	SLC4A4
ENSMMUG00000055021			Metazoa_SRP
ENSMMUG00000037731			
ENSMMUG00000003775	ENSG00000244682	FCGR2C	FCGR2A
ENSMMUG00000003775	ENSG00000143226	FCGR2A	FCGR2A
ENSMMUG00000003775	ENSG00000072694	FCGR2B	FCGR2A
ENSMMUG00000022983	ENSG00000153292	ADGRF1	ADGRF1
ENSMMUG00000062752			Metazoa_SRP
ENSMMUG00000011342	ENSG00000213085	CFAP45	CFAP45
ENSMMUG00000059209			
ENSMMUG00000060167			
ENSMMUG00000064926			
ENSMMUG00000014823	ENSG00000006128	TAC1	TAC1
ENSMMUG00000057065	ENSG00000252948	RNU6-1314P	U6
ENSMMUG00000057065	ENSG00000272262	RNU6-89P	U6
ENSMMUG00000000777	ENSG00000151914	DST	DST
ENSMMUG00000053883			
ENSMMUG00000058229	ENSG00000200108	RNU6-774P	U6
ENSMMUG00000005008	ENSG00000143578	CREB3L4	CREB3L4
ENSMMUG00000009549	ENSG00000080822	CLDND1	CLDND1
ENSMMUG00000049457			
ENSMMUG00000062451			
ENSMMUG00000036194	ENSG00000251796	SNORA70	SNORA70
ENSMMUG00000036194	ENSG00000251925	SNORA70	SNORA70
ENSMMUG00000036194	ENSG00000253042	SNORA70	SNORA70
ENSMMUG00000051575			Metazoa_SRP
ENSMMUG00000017542	ENSG00000186591	UBE2H	UBE2H
ENSMMUG00000060831	ENSG00000207318	RNU6-1184P	U6
ENSMMUG00000051417			
ENSMMUG00000001551			SSU72
ENSMMUG00000055013			
ENSMMUG00000026679	ENSG00000201483	Y_RNA	Y_RNA
ENSMMUG00000054860			
ENSMMUG00000039689	ENSG00000242266	RN7SL456P	Metazoa_SRP
ENSMMUG00000064461			
ENSMMUG00000029416	ENSG00000203760	CENPW	CENPW
ENSMMUG00000063798			Metazoa_SRP
ENSMMUG00000060503			Metazoa_SRP
ENSMMUG00000063362			Metazoa_SRP
ENSMMUG00000051965			mml-mir-573
ENSMMUG00000061905			
ENSMMUG00000016823	ENSG00000145012	LPP	LPP
ENSMMUG00000059021			
ENSMMUG00000063288			
ENSMMUG00000016838	ENSG00000116254	CHD5	CHD5
ENSMMUG00000012053	ENSG00000164305	CASP3	CASP3
ENSMMUG00000027695	ENSG00000199370	U3	U3
ENSMMUG00000055762			
ENSMMUG00000006480	ENSG00000172940	SLC22A13	SLC22A13
ENSMMUG00000000007	ENSG00000105829	BET1	BET1
ENSMMUG00000064605			
ENSMMUG00000049933			
ENSMMUG00000016096	ENSG00000160789	LMNA	LMNA
ENSMMUG00000025918	ENSG00000200816	SNORA38	SNORA38
ENSMMUG00000050357			
ENSMMUG00000062736	ENSG00000243374	RN7SL72P	Metazoa_SRP
ENSMMUG00000051147			
ENSMMUG00000041217	ENSG00000138678	GPAT3	GPAT3
ENSMMUG00000057630			
ENSMMUG00000056172			
ENSMMUG00000009637	ENSG00000109606	DHX15	DHX15
ENSMMUG00000057826	ENSG00000201613	RNU6-200P	U6
ENSMMUG00000047337	ENSG00000240936	RN7SL554P	Metazoa_SRP
ENSMMUG00000049735	ENSG00000204472	AIF1	AIF1
ENSMMUG00000051354			
ENSMMUG00000058763			
ENSMMUG00000055867			Metazoa_SRP
ENSMMUG00000016360	ENSG00000157426	AASDH	AASDH
ENSMMUG00000057341	ENSG00000231861	OR5K2	OR5K2
ENSMMUG00000044193			
ENSMMUG00000052623	ENSG00000199516	Y_RNA	Y_RNA
ENSMMUG00000062476			
ENSMMUG00000059162			
ENSMMUG00000023884			5S_rRNA
ENSMMUG00000054153			
ENSMMUG00000026105			Y_RNA
ENSMMUG00000022995	ENSG00000173406	DAB1	DAB1
ENSMMUG00000064986			
ENSMMUG00000032102	ENSG00000232382	OR5K1	OR5K1
ENSMMUG00000019571	ENSG00000156299	TIAM1	TIAM1
ENSMMUG00000060901			
ENSMMUG00000060571			
ENSMMUG00000064770			
ENSMMUG00000051125			
ENSMMUG00000012582	ENSG00000112761	CCN6	CCN6
ENSMMUG00000015355	ENSG00000146374	RSPO3	RSPO3
ENSMMUG00000058177			
ENSMMUG00000037265			U7
ENSMMUG00000041616	ENSG00000127920	GNG11	GNG11
ENSMMUG00000001549	ENSG00000197785	ATAD3A	
ENSMMUG00000006155	ENSG00000091732	ZC3HC1	ZC3HC1
ENSMMUG00000021080	ENSG00000117475	BLZF1	BLZF1
ENSMMUG00000064288			Metazoa_SRP
ENSMMUG00000058568	ENSG00000087085	ACHE	ACHE
ENSMMUG00000050819			Metazoa_SRP
ENSMMUG00000062418			
ENSMMUG00000051485			
ENSMMUG00000054174			
ENSMMUG00000014387	ENSG00000124608	AARS2	AARS2
ENSMMUG00000049839			
ENSMMUG00000011340	ENSG00000243284	VSIG8	VSIG8
ENSMMUG00000052290			
ENSMMUG00000004001	ENSG00000143858	SYT2	SYT2
ENSMMUG00000020579	ENSG00000127928	GNGT1	GNGT1
ENSMMUG00000014920	ENSG00000196636	SDHAF3	SDHAF3
ENSMMUG00000008854	ENSG00000204475	NCR3	NCR3
ENSMMUG00000026994	ENSG00000207651	MIR28	mml-mir-28
ENSMMUG00000058202			
ENSMMUG00000061007			
ENSMMUG00000061902	ENSG00000197938	OR5H2	OR5H2
ENSMMUG00000020581	ENSG00000105825	TFPI2	TFPI2
ENSMMUG00000012581	ENSG00000074935	TUBE1	TUBE1
ENSMMUG00000032897	ENSG00000212161		
ENSMMUG00000028530	ENSG00000207461	RNU6-253P	U6
ENSMMUG00000045833	ENSG00000243005	RN7SL16P	Metazoa_SRP
ENSMMUG00000054481	ENSG00000105880	DLX5	DLX5
ENSMMUG00000056978	ENSG00000236032	OR5H14	OR5H14
ENSMMUG00000052138			
ENSMMUG00000023002	ENSG00000069122	ADGRF5	ADGRF5
ENSMMUG00000005010	ENSG00000143543	JTB	JTB
ENSMMUG00000049390			
ENSMMUG00000064513			
ENSMMUG00000011338	ENSG00000158714	SLAMF8	SLAMF8
ENSMMUG00000045513			
